,location,total_sqft,bath,price,bhk,encoded_loc
207,Vijayanagar,1933.0,3,129.0,3,235
208,Ramamurthy Nagar,3500.0,5,150.0,5,202
209,others,1060.0,2,60.0,2,245
210,Chandapura,645.0,1,16.45,1,59
211,others,1644.0,3,84.0,3,245
212,others,1285.0,2,72.5,2,245
213,Electronic City,1200.0,3,90.0,3,79
214,Electronic City,910.0,2,40.0,2,79
215,Kothanur,1577.0,3,70.0,3,155
216,others,4050.0,3,280.0,3,245
217,OMBR Layout,2420.0,3,185.0,3,187
218,Chandapura,800.0,1,20.0,2,59
219,others,1060.0,2,55.0,2,245
220,7th Phase JP Nagar,1270.0,2,93.0,2,8
221,others,900.0,2,22.5,2,245
222,others,1280.0,2,69.0,2,245
223,Horamavu Agara,1200.0,2,95.0,4,105
224,Sarjapur  Road,1025.0,2,36.0,2,208
225,Electronic City,1108.0,2,63.0,2,79
226,others,3045.0,3,170.0,3,245
227,Ambedkar Nagar,2900.0,3,300.0,4,15
228,Vijayanagar,1500.0,3,75.5,3,235
229,Raja Rajeshwari Nagar,1295.0,2,43.9,2,198
230,Budigere,1162.0,2,59.9,2,56
231,Sarjapur  Road,1035.0,2,49.2,2,208
232,Attibele,1600.0,4,52.8,4,23
233,others,1464.0,3,46.0,3,245
234,Hennur Road,1866.0,2,61.58,3,103
235,others,700.0,1,26.0,2,245
236,Kalena Agrahara,1804.0,3,120.0,3,129
237,Sarjapur,913.0,2,32.0,2,207
238,Talaghattapura,1868.0,3,131.0,3,222
239,Kengeri Satellite Town,883.0,2,45.0,2,145
240,Kogilu,1664.0,2,73.95,3,151
241,Hegde Nagar,2026.0,3,132.0,3,101
242,Balagere,1210.0,2,80.9,2,29
243,others,4111.0,4,250.0,4,245
244,Kadugodi,1762.0,3,91.45,3,125
245,Jigani,1252.0,3,55.0,3,121
246,Gollarapalya Hosahalli,861.0,2,34.5,2,87
247,7th Phase JP Nagar,1420.0,2,100.0,3,8
248,Electronics City Phase 1,1490.0,3,78.8,3,81
249,Bisuvanahalli,1075.0,2,46.0,3,50
250,Old Madras Road,1425.0,2,94.0,3,189
251,Kalena Agrahara,1200.0,2,40.0,2,129
252,Kaggadasapura,1280.0,2,56.0,3,126
253,others,1084.0,2,50.0,2,245
254,Chandapura,1015.0,2,25.88,2,59
255,Kanakpura Road,1017.0,2,51.25,2,136
256,Haralur Road,1027.0,2,44.0,2,97
257,Electronic City Phase II,1069.0,2,45.0,2,80
258,Hebbal,1349.0,2,98.2,2,99
259,9th Phase JP Nagar,1005.0,2,50.0,2,10
260,Jakkur,1417.0,2,75.0,2,118
261,TC Palaya,1475.0,3,98.0,3,221
262,others,950.0,2,47.0,2,245
263,others,2000.0,4,120.0,4,245
264,Sarjapur  Road,1863.0,3,104.0,4,208
265,Singasandra,1010.0,2,29.5,2,215
266,Kalena Agrahara,1425.0,2,70.0,3,129
267,Vijayanagar,1450.0,3,100.0,3,235
268,Kothanur,1847.0,3,105.0,3,155
269,AECS Layout,1100.0,2,45.0,2,11
270,Kanakpura Road,525.0,1,26.0,1,136
271,Mallasandra,1665.0,3,95.0,3,167
272,Begur,1664.0,4,65.0,4,42
273,JP Nagar,1850.0,3,150.0,3,117
274,Panathur,1438.0,2,100.0,2,192
275,others,1560.0,3,115.0,3,245
276,Yelahanka,1350.0,2,55.55,2,241
277,Kanakpura Road,1550.0,3,67.0,3,136
278,Malleshpalya,1140.0,2,46.5,2,168
279,others,850.0,2,27.0,2,245
280,Whitefield,1280.0,2,75.0,2,239
281,Munnekollal,1170.0,2,52.0,2,174
282,others,1113.0,2,51.0,2,245
283,Hennur Road,1385.0,2,83.09,2,103
284,Electronic City,1128.0,2,65.0,2,79
285,Marathahalli,1200.0,2,128.0,2,170
286,Haralur Road,1464.0,3,56.0,3,97
287,others,1200.0,2,55.0,2,245
288,Kaval Byrasandra,1200.0,2,52.0,2,142
289,Kaggalipura,1150.0,2,55.0,3,127
290,others,1645.0,3,95.0,3,245
291,Sarjapur  Road,1000.0,2,67.0,2,208
292,Haralur Road,2650.0,4,198.0,4,97
293,6th Phase JP Nagar,1192.0,2,74.0,2,7
294,Ulsoor,2135.0,3,215.0,3,229
295,Whitefield,1173.0,2,58.0,2,239
296,Uttarahalli,1020.0,2,45.0,2,230
297,Somasundara Palya,1600.0,3,64.0,3,216
298,others,1200.0,2,79.0,2,245
299,others,1230.0,2,48.0,2,245
300, Devarachikkanahalli,1250.0,2,40.0,2,0
301,Kalena Agrahara,1325.0,2,76.0,2,129
302,7th Phase JP Nagar,1850.0,3,150.0,3,8
303,Kanakpura Road,525.0,2,21.53,1,136
304,Basaveshwara Nagar,1200.0,2,65.0,2,40
305,others,1350.0,2,140.0,3,245
306,Bommasandra,1260.0,3,49.36,3,52
307,others,1800.0,3,150.0,3,245
308,Ardendale,1100.0,2,43.25,2,21
309,Harlur,1508.0,2,77.0,2,98
310,others,1592.0,3,75.0,3,245
311,Akshaya Nagar,1388.0,2,57.0,2,13
312,Electronic City Phase II,630.0,1,28.35,1,80
313,others,1762.0,3,125.0,3,245
314,others,950.0,2,50.0,2,245
315,Kodihalli,3252.0,5,335.0,4,150
316,Magadi Road,1116.0,2,50.0,2,164
317,others,1308.0,2,89.04,2,245
318,others,1200.0,3,90.0,3,245
319,Bannerghatta Road,500.0,1,18.5,1,38
320,Hennur,1075.0,2,52.0,2,102
321,Chandapura,530.0,1,11.66,1,59
322,Bellandur,1205.0,2,66.0,2,44
323,5th Phase JP Nagar,1075.0,2,60.0,2,6
324,KR Puram,930.0,2,39.0,2,123
325,Balagere,1380.0,2,60.0,2,29
326,Hebbal,2483.0,5,212.0,4,99
327,Kodigehaali,1166.0,2,55.0,2,148
328,Bannerghatta Road,1050.0,2,65.0,2,38
329,Begur Road,1200.0,2,46.8,2,43
330,Lakshminarayana Pura,1600.0,2,108.0,3,162
331,Billekahalli,1935.0,3,110.0,3,48
332,8th Phase JP Nagar,451.0,1,29.9,1,9
333,Electronic City,1800.0,3,95.0,3,79
334,Jalahalli,1400.0,3,77.0,3,119
335,Hegde Nagar,1801.0,3,115.0,3,101
336,Mahadevpura,1451.0,2,90.0,2,165
337,Anekal,1200.0,1,36.0,2,19
338,Begur Road,1160.0,2,44.0,2,43
339,Kengeri,1000.0,2,25.0,2,144
340,Kanakpura Road,950.0,2,40.0,2,136
341,others,1629.0,3,79.0,3,245
342,Vijayanagar,1580.0,2,134.0,3,235
343,Vijayanagar,1826.0,3,121.0,3,235
344,7th Phase JP Nagar,1245.0,2,94.0,2,8
345,Raja Rajeshwari Nagar,1145.0,2,45.79,2,198
346,Sompura,825.0,2,33.0,2,217
347,Yeshwanthpur,1693.0,3,108.0,3,244
348,Electronics City Phase 1,1113.27,2,53.0,2,81
349,others,1460.0,2,58.0,2,245
350,Doddathoguru,1050.0,2,32.0,2,74
351,Dodda Nekkundi,1260.0,2,55.0,2,71
352,Hosur Road,1656.0,2,120.0,2,111
353,Chandapura,1208.0,3,45.0,3,59
354,Whitefield,1910.0,3,161.0,3,239
355,Whitefield,3252.0,4,230.0,4,239
356,Battarahalli,1200.0,2,65.0,2,41
357,7th Phase JP Nagar,1175.0,2,82.0,2,8
358,Bannerghatta Road,1200.0,2,125.0,4,38
359,Kengeri,1576.0,1,18.5,1,144
360,others,1185.0,2,38.0,2,245
361,Kengeri,750.0,2,38.0,2,144
362,Kanakpura Road,1550.0,3,64.5,3,136
363,others,1760.0,3,88.0,3,245
364,Billekahalli,1125.0,2,62.0,2,48
365,Anandapura,1000.0,2,55.0,2,17
366,Bommasandra Industrial Area,1090.0,2,31.48,2,53
367,TC Palaya,1200.0,2,60.0,2,221
368,Budigere,1991.0,4,103.0,3,56
369,Bommasandra,1060.0,2,26.5,2,52
370,Ambalipura,1105.0,2,75.0,2,14
371,Hoodi,985.0,2,67.0,2,104
372,Balagere,1590.0,3,79.0,3,29
373,CV Raman Nagar,1120.0,2,55.0,2,57
374,others,1069.0,2,55.0,2,245
375,Marathahalli,1933.0,3,140.0,3,170
376,Hosur Road,1194.0,2,69.0,2,111
377,Brookefield,1150.0,2,69.0,2,55
378,Yelenahalli,1240.0,2,47.12,2,243
379,Raja Rajeshwari Nagar,1419.0,2,48.1,2,198
380,others,1450.0,3,55.0,3,245
381,others,1630.0,3,68.29,3,245
382,Dasanapura,708.0,1,40.0,2,68
383,Whitefield,11890.0,4,700.0,4,239
384,Bellandur,1250.0,2,76.0,2,44
385,7th Phase JP Nagar,1400.0,2,95.0,3,8
386,Sarjapur  Road,1670.0,2,57.0,3,208
387,Ardendale,1750.0,3,100.0,3,21
388,Vittasandra,1404.0,2,71.0,2,238
389,Hoodi,1715.0,2,95.0,3,104
390,Electronic City,630.0,1,34.65,1,79
391,Harlur,1752.12,3,135.0,3,98
392,Hulimavu,1650.0,3,78.0,3,112
393,Raja Rajeshwari Nagar,1295.0,2,55.47,2,198
394,Sarjapur  Road,1346.0,2,74.03,2,208
395,Hormavu,1150.0,2,55.0,2,107
396,others,3309.0,4,325.0,4,245
397,Chandapura,1190.0,2,30.35,3,59
398,AECS Layout,1620.0,3,98.0,3,11
399,Marathahalli,950.0,2,46.96,2,170
400,Harlur,2450.0,3,120.0,3,98
401,Electronic City Phase II,1220.0,2,35.23,3,80
402,others,850.0,2,30.0,2,245
403,Padmanabhanagar,1020.0,2,63.0,2,190
404,Chikkalasandra,1100.0,2,50.0,2,63
405,others,1150.0,2,126.0,2,245
406,Hebbal,1760.0,2,130.0,3,99
407,Ambalipura,1800.0,3,110.0,3,14
408,Akshaya Nagar,1070.0,2,54.0,2,13
409,Vidyaranyapura,1440.0,2,95.0,2,234
410,Amruthahalli,900.0,2,40.0,2,16
411,Whitefield,1130.0,2,42.16,2,239
412,Kodigehalli,1270.0,2,98.0,2,149
413,others,1200.0,2,62.0,2,245
414,others,4800.0,4,235.0,4,245
415,others,1200.0,2,74.0,2,245
416,Subramanyapura,929.0,2,50.17,2,219
417,others,1464.0,3,56.0,3,245
418,others,2000.0,4,99.0,4,245
419,Chikkalasandra,1208.0,2,49.0,2,63
420,Hebbal Kempapura,1130.0,2,60.0,2,100
421,others,1753.0,3,120.0,3,245
422,Hoodi,1196.0,2,94.42,2,104
423,5th Phase JP Nagar,1150.0,3,52.5,2,6
424,Electronic City,1128.0,2,63.0,2,79
425,others,1000.0,2,53.0,2,245
426,Yelahanka,1035.0,2,45.0,2,241
427,Kereguddadahalli,950.0,2,32.0,2,146
428,Bisuvanahalli,1075.0,2,36.0,3,50
429,Whitefield,1040.0,2,48.5,2,239
430,others,720.0,2,45.0,2,245
431,Lingadheeranahalli,1511.0,3,95.0,3,163
432,others,1300.0,3,58.0,3,245
433,Hoodi,1545.0,3,68.75,3,104
434,Shampura,375.0,2,26.0,1,213
435,Vidyaranyapura,1062.0,2,38.0,2,234
436,others,1115.0,2,40.0,2,245
437,JP Nagar,1000.0,2,35.0,2,117
438,Kambipura,883.0,2,45.0,2,132
439,Sarjapur  Road,1195.0,2,70.0,2,208
440,others,700.0,1,41.0,1,245
441,Vittasandra,1246.0,2,67.0,2,238
442,Banashankari Stage III,8500.0,4,145.0,4,32
443,others,1600.0,4,80.0,4,245
444,Haralur Road,2805.0,5,154.0,4,97
445,Begur Road,1584.0,3,65.0,3,43
446,Sector 7 HSR Layout,3000.0,5,275.0,4,211
447,Hosur Road,1175.0,2,48.0,3,111
448,others,1595.0,3,115.0,3,245
449,others,1353.0,2,110.0,2,245
450,Electronic City,1599.0,3,125.0,3,79
451,Whitefield,1150.0,2,70.0,2,239
452,KR Puram,1155.0,2,42.74,2,123
453,others,1200.0,2,85.0,1,245
454,Electronic City Phase II,1000.0,2,25.0,2,80
455,Thanisandra,3000.0,4,120.0,4,223
456,Rajiv Nagar,1867.0,3,160.0,3,200
457,Ramagondanahalli,1251.0,2,47.0,2,201
458,others,1028.0,2,45.5,2,245
459,Arekere,1222.0,2,45.0,2,22
460,Bannerghatta Road,1170.0,2,66.0,3,38
461,Hebbal,2400.0,4,245.0,3,99
462,others,1385.0,2,48.48,3,245
463,HSR Layout,1372.0,2,68.0,2,96
464,Magadi Road,1282.0,2,49.0,3,164
465,Kanakpura Road,1135.0,2,39.73,2,136
466,Whitefield,1768.0,3,101.0,3,239
467,others,1325.0,2,90.0,3,245
468,Electronic City,1599.0,3,99.0,3,79
469,Whitefield,1500.0,3,61.95,3,239
470,Uttarahalli,1286.0,2,63.0,2,230
471,Kammanahalli,2845.0,5,140.0,5,133
472,others,1600.0,2,50.0,3,245
473,Hennur Road,1317.5,2,63.77,2,103
474,Munnekollal,1102.0,2,53.67,2,174
475,Yelahanka,1350.0,2,54.0,2,241
476,Banashankari,1200.0,2,42.0,3,30
477,others,1800.0,1,80.0,2,245
478,Chikkabanavar,950.0,2,40.0,2,62
479,Kanakpura Road,525.0,1,27.25,1,136
480,Attibele,656.0,2,25.0,2,23
481,Marathahalli,1780.0,4,175.0,4,170
482,others,1056.0,2,80.0,2,245
483,Bannerghatta Road,595.0,1,33.32,1,38
484,others,1080.0,2,50.0,2,245
485,7th Phase JP Nagar,2225.0,3,160.0,3,8
486,Bommasandra,1126.0,2,28.15,2,52
487,Electronics City Phase 1,1490.0,3,84.0,3,81
488,Sarjapur  Road,1550.0,3,100.0,3,208
489,others,1600.0,3,86.0,3,245
490,others,1160.0,2,55.0,2,245
491,Whitefield,4144.0,4,315.0,4,239
492,Sarjapur  Road,2100.0,3,125.0,3,208
493,Vittasandra,1404.0,2,69.3,2,238
494,Sarjapur  Road,2230.0,4,225.0,4,208
495,others,1544.0,3,120.0,3,245
496,Banashankari Stage III,1305.0,2,58.7,3,32
497,Marathahalli,1230.0,2,80.0,2,170
498,others,1200.0,2,65.0,2,245
499,Harlur,1460.0,3,73.0,3,98
500,Sarjapur  Road,1800.0,2,34.185,2,208
501,Gottigere,967.0,2,45.0,2,88
502,others,540.0,1,36.0,1,245
503,Hormavu,715.0,1,46.0,1,107
504,Mysore Road,1020.0,2,48.95,2,176
505,Jigani,1020.0,2,40.0,2,121
506,Koramangala,1253.0,2,102.0,2,153
507,others,1180.0,2,42.0,2,245
508,Nehru Nagar,961.0,2,38.0,2,186
509,Kanakapura,1419.0,3,75.0,3,135
510,Harlur,1709.0,3,150.0,3,98
511,others,1600.0,2,115.0,2,245
512,others,416.0,1,18.5,1,245
513,Sanjay nagar,1100.0,2,98.0,2,205
514,HSR Layout,1430.0,2,65.0,3,96
515,others,1260.0,2,45.0,2,245
516,others,1630.0,3,85.0,3,245
517,Sarjapur  Road,1249.0,3,44.71,3,208
518,Kalena Agrahara,1450.0,2,85.0,3,129
519,Konanakunte,2791.0,3,223.0,3,152
520,others,834.0,1,60.0,1,245
521,others,1125.0,4,70.0,3,245
522,Arekere,2060.0,3,140.0,3,22
523,Gottigere,891.0,2,25.0,2,88
524,Raja Rajeshwari Nagar,1133.0,2,49.07,2,198
525,Bisuvanahalli,1075.0,2,37.0,3,50
526,others,3000.0,5,260.0,4,245
527,Vidyaranyapura,1200.0,2,55.0,2,234
528,Thanisandra,1075.0,2,45.8,2,223
529,Kaggadasapura,1140.0,2,40.0,2,126
530,Raja Rajeshwari Nagar,1090.0,2,42.0,2,198
531,R.T. Nagar,1500.0,4,70.0,4,196
532,Whitefield,4104.0,4,360.0,4,239
533,Whitefield,1790.0,3,100.0,3,239
534,Hebbal,1920.0,3,134.0,3,99
535,HRBR Layout,1374.0,2,95.0,2,95
536,Bannerghatta Road,1445.0,3,95.0,3,38
537,Kanakapura,711.0,1,36.0,1,135
538,Tumkur Road,1500.0,3,95.0,3,228
539,Whitefield,1720.0,3,100.0,3,239
540,Vasanthapura,1400.0,3,60.0,3,233
541,Kundalahalli,1030.0,2,49.0,2,159
542,Mysore Road,1200.0,2,85.0,2,176
543,others,1375.0,3,70.0,3,245
544,Hegde Nagar,1050.0,1,56.0,2,101
545,Jalahalli,2250.0,3,160.0,3,119
546,Bellandur,1000.0,2,50.0,2,44
547,others,469.0,1,25.0,1,245
548,Marathahalli,3800.0,4,250.0,4,170
549,Kambipura,883.0,2,29.0,2,132
550,GM Palaya,1820.0,2,86.0,3,83
551,Singasandra,1440.0,2,65.0,3,215
552,others,3600.0,4,160.0,6,245
553,Mahadevpura,1225.0,2,48.0,2,165
554,Chikkalasandra,875.0,2,52.8,2,63
555,Jalahalli East,750.0,1,40.0,1,120
556,6th Phase JP Nagar,1180.0,2,80.0,2,7
557,Haralur Road,1194.0,2,47.0,2,97
558,Hennur Road,1500.0,2,62.0,3,103
559,others,1160.0,2,52.2,2,245
560,Sarjapur,1128.0,2,60.0,2,207
561,Hebbal,1500.0,3,150.0,3,99
562,others,1220.0,2,35.23,3,245
563,Sarjapur  Road,1210.0,2,58.0,2,208
564,Kanakpura Road,1100.0,2,58.0,3,136
565,Bommasandra,1200.0,3,46.0,3,52
566,Haralur Road,3385.0,5,260.0,4,97
567,others,1641.0,3,66.0,3,245
568,Horamavu Agara,1200.0,2,45.0,2,105
569,Raja Rajeshwari Nagar,1260.0,2,67.39,2,198
570,Mahadevpura,1720.0,3,78.0,3,165
571,Yelahanka,1132.5,2,48.13,2,241
572,Yelahanka,1210.0,2,45.98,2,241
573,Indira Nagar,2200.0,4,200.0,4,116
574,Bisuvanahalli,1075.0,2,45.0,3,50
575,Thanisandra,1702.0,3,130.0,3,223
576,Raja Rajeshwari Nagar,1141.0,2,38.55,2,198
577,others,2072.0,3,108.0,3,245
578,JP Nagar,5520.0,2,375.0,5,117
579,others,1200.0,2,70.0,3,245
580,others,1350.0,3,77.0,3,245
581,others,1180.0,2,78.34,3,245
582,Yelahanka,35000.0,3,130.0,3,241
583,others,1355.0,2,115.0,2,245
584,others,600.0,1,50.0,1,245
585,Bannerghatta Road,1640.0,2,120.0,3,38
586,Kodichikkanahalli,1190.0,2,57.0,3,147
587,Marathahalli,1019.0,2,49.85,2,170
588,others,1875.0,3,165.0,3,245
589,Akshaya Nagar,1250.0,3,40.0,3,13
590,Whitefield,1140.0,2,56.0,2,239
591,Lingadheeranahalli,1683.0,3,109.0,3,163
